lambda;error;tsolve;nsosc;nsslo;nstot;nf;nls;nlu;nsub;solver
1e1;1.53e-11;3.31e-2;(22,0);(22,22);(44,22);7794;45;1;22;riccati
1e2;1.32e-9;2.26e-3;(2,2);(0,0);(2,2);498;1;1;2;riccati
1e3;3.23e-9;2.14e-3;(2,2);(0,0);(2,2);498;1;1;2;riccati
1e4;9.94e-10;2.08e-3;(2,2);(0,0);(2,2);498;1;1;2;riccati
1e5;5.08e-8;2.08e-3;(2,2);(0,0);(2,2);498;1;1;2;riccati
1e6;2.57e-6;2.08e-3;(2,2);(0,0);(2,2);498;1;1;2;riccati
1e7;7.75e-6;2.02e-3;(2,2);(0,0);(2,2);498;1;1;2;riccati
1e1;1.39e-6;7.93e-2;0;188;188;7392;;;;oscode
1e2;1.54e-7;1.31e-2;31;0;31;1342;;;;oscode
1e3;6.31e-9;1.71e-2;39;0;39;1694;;;;oscode
1e4;5.87e-11;2.05e-2;48;0;48;2090;;;;oscode
1e5;1.63e-10;2.61e-2;62;0;62;2706;;;;oscode
1e6;4.42e-9;2.81e-2;76;0;76;3322;;;;oscode
1e7;6.11e-10;2.54e-2;74;0;74;3234;;;;oscode
1e1;1.37e-05;4.40e-2;;;112;1727;;;;arnold
1e2;2.50e-08;9.02e-4;;;4;33;;;;arnold
1e3;4.84e-10;8.46e-4;;;4;33;;;;arnold
1e4;1.15e-08;8.26e-4;;;4;33;;;;arnold
1e5;4.35e-08;7.60e-4;;;4;33;;;;arnold
1e7;3.99e-06;8.71e-4;;;4;33;;;;arnold
1e1;1.56e-06;5.59e-3;;;;386;;;;rk78
1e2;7.58e-06;3.51e-2;;;;2654;;;;rk78
1e3;1.55e-4;4.54e-1;;;;25658;;;;rk78
1e4;2.26e-3;3.67e0;;;;255686;;;;rk78
1e5;1.24e-2;3.45e1;;;;2555954;;;;rk78
1e6;8.52e-2;3.46e2;;;;25558622;;;;rk78
